UCWF,UCWDP,UCFDP,UCFMS,UCFMEP,UCAF,UCFMC,UCMVB,UCAH,UCFS,UCFVB,UCFMV,UCFMT,UCHC,UCHAH,UCHV,MVWF2,MVCV,MVDP,MVWF1,MVWF1.setting,MVSO,MVOT,CPPR,CPHE,CPMEP,CPCF,CPHP,CPMC,CPAH,CPMV,CPMT,CPSP,CPDP,UCSDP,AMBH,AMBT,UCAIH,UCAIT,UCAOH,UCAOT,UCWIT,UCWOT,timestamp,experiment_id,season,T_initial,T_setpoint,frequency_factor
-2,7,99.15,1395,126,1364,1.07,1.37,42,1418,1.79,353,35.3,3.092,2,407.4,-2,-0.05,2,1,1,0,0,28,0,3,0,1,0.008,2.4,406.2,0,68,95,13.19,67,18.7,70.1,17.98,79.89,16.63,10.42,15.59,1970-01-01 00:00:00.000000024,DS05,winter,18.7,28.0,
-1,5,99.15,1395,120,1364,1.05,1.32,62,1432,1.61,353,41.7,3.069,4,404.8,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.5,0,66,103,14.16,51,22.13,51.93,21.85,49.91,22.24,13.15,17.64,1970-01-01 00:00:00.000000025,DS04,winter,22.13,27.0,
-2,7,98.17,1395,118,1357,1.07,1.14,42,1432,1.6,352,35.4,3.091,2,407.1,-2,-0.05,2,1,1,0,0,28,0,3,0,1,0.008,2.4,406.1,0,68,95,13.19,67,18.69,70.1,17.98,79.86,16.6,10.37,15.59,1970-01-01 00:00:00.000000025,DS05,winter,18.7,28.0,
-2,5,97.68,1395,128,1354,1.05,1.23,62,1432,1.64,353,41.7,3.073,4,404.8,-2,-0.05,2,1,1,0,0,37,0,4,0,-1,0.008,2.9,403.5,0,66,103,14.16,51,22.13,51.93,21.85,49.91,22.24,13.15,17.64,1970-01-01 00:00:00.000000026,DS04,winter,22.13,27.0,
-2,7,99.15,1395,129,1364,1.07,1.31,42,1418,1.68,353,35.3,3.089,2,407.3,-2,-0.05,2,1,1,0,0,29,0,2,0,1,0.007,2.4,406.2,0,67,95,13.19,67,18.7,70.1,17.98,79.89,16.65,10.37,15.64,1970-01-01 00:00:00.000000026,DS05,winter,18.7,28.0,
-2,5,99.63,1395,129,1367,1.05,1.33,42,1433,1.73,353,35.3,3.089,2,407.2,-2,-0.05,2,1,1,0,0,28,0,2,0,1,0.007,2.4,406.2,0,68,95,13.19,67,18.7,70.1,17.98,79.89,16.65,10.37,15.59,1970-01-01 00:00:00.000000027,DS05,winter,18.7,28.0,
-2,7,99.15,1395,130,1364,1.05,1.33,62,1418,1.47,353,41.8,3.073,4,404.8,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.5,0,66,103,14.16,51,22.13,51.93,21.85,49.91,22.23,13.15,17.64,1970-01-01 00:00:00.000000027,DS04,winter,22.13,27.0,
0,7,100.12,1395,129,1371,1.05,1.17,42,1421,1.71,353,35.3,3.093,2,407.2,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.007,2.4,406.2,0,68,95,13.19,67,18.69,70.1,17.98,79.89,16.68,10.37,15.64,1970-01-01 00:00:00.000000028,DS05,winter,18.7,28.0,
0,5,99.15,1395,126,1364,1.06,1.46,62,1418,1.59,353,41.7,3.073,4,404.8,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.5,0,66,103,13.68,51,22.13,51.93,21.85,49.88,22.23,13.15,17.64,1970-01-01 00:00:00.000000028,DS04,winter,22.13,27.0,
-3,5,103.05,1395,124,1391,1.06,1.53,62,1418,1.53,353,41.7,3.071,4,404.6,-3,-0.05,4,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.9,0,66,103,14.16,51,22.13,51.93,21.85,49.86,22.26,13.15,17.64,1970-01-01 00:00:00.000000029,DS04,winter,22.13,27.0,
-2,7,100.61,1395,132,1374,1.06,1.27,42,1430,1.64,353,35.3,3.087,2,407.1,-2,-0.05,2,1,1,0,0,29,0,2,0,1,0.007,2.4,406.2,0,68,95,13.19,67,18.69,70.1,17.98,79.91,16.65,10.37,15.59,1970-01-01 00:00:00.000000029,DS05,winter,18.7,28.0,
-1,6,101.1,1395,136,1378,1.06,1.37,62,1418,1.76,353,41.8,3.07,4,404.6,-1,-0.05,1,1,1,0,0,37,0,4,0,-1,0.008,2.9,403.9,0,66,103,14.16,51,22.13,51.93,21.85,49.86,22.28,13.15,17.64,1970-01-01 00:00:00.000000030,DS04,winter,22.13,27.0,
